claim_id,participant,claim,source_ids,confidence,checked_at
F001,Ada Tours,"Есть отдельный русскоязычный раздел рыболовных туров по нескольким странам Латинской Америки",S002,high,2026-09-18
F002,Ada Tours,"Публично доступна отдельная программа рыбалки в Пантанале с лоджем и локальной организацией",S003,high,2026-09-18
F003,Ada Tours,"Рыбалка может быть встроена в индивидуальный маршрут по Аргентине и Патагонии",S004,high,2026-09-18
F004,Ada Tours,"Русскоязычный канал и широкий обычный турпродукт подтверждены",S002;S004,high,2026-09-18
F005,Royal Safari,"Компания специализируется на рыболовных и экспедиционных поездках по бассейну Амазонки",S005,high,2026-09-18
F006,Royal Safari,"Для Бразилии опубликованы конкретные заезды и цены на 2026 год",S006,high,2026-09-18
F007,Royal Safari,"Русскоязычная работа подтверждена публичным сайтом",S005,high,2026-09-18
F008,ICS Travel Group,"Есть отдельный раздел рыбалки в Бразилии",S008,high,2026-09-18
F009,ICS Travel Group,"Подтверждена рыбалка в Аргентине",S009,high,2026-09-18
F010,ICS Travel Group,"Рыболовные продукты можно соединить с большой туристической программой по Бразилии",S007;S008,high,2026-09-18
F011,Larus Travel,"В Чили опубликован отдельный набор рыболовных программ",S010;S011;S012,high,2026-09-18
F012,Larus Travel,"Остров Наварино продается как отдельная сезонная рыболовная программа",S011,high,2026-09-18
F013,Larus Travel,"Русскоязычный туроператор может соединять рыбалку с более широким маршрутом по Чили",S010,high,2026-09-18
F014,АРТ-ТУР,"В актуальной продуктовой базе по Бразилии есть рыболовные предложения и Амазония",S013,high,2026-09-18
F015,АРТ-ТУР,"Манаус и Амазония представлены как часть организуемого туристического продукта",S014,high,2026-09-18
F016,Карибский клуб,"Опубликована отдельная индивидуальная программа Рыбалка в Амазонке",S015,high,2026-09-18
F017,Карибский клуб,"Программа соединяет Рио-де-Жанейро и Амазонию, то есть рыбалку с обычным путешествием",S015,high,2026-09-18
F018,PAM Travel,"Есть публичный материал о рыбалке на дорадо в Corrientes и форели в Патагонии",S016,medium,2026-09-18
F019,PAM Travel,"PAM Travel работает как русскоязычный DMC в Аргентине",S017,high,2026-09-18
F020,Nervous Waters,"Nervous Waters управляет специализированными fishing lodges в нескольких странах и работает более 40 лет",S018,high,2026-09-18
F021,Nervous Waters,"Публично описаны лицензии, снасти, гиды и логистика до лоджей",S019,high,2026-09-18
F022,Untamed Angling,"Untamed Angling является fishing-first оператором удаленных направлений в Бразилии",S020,high,2026-09-18
F023,Untamed Angling,"Доступны комбинированные рыболовные маршруты между удаленными локациями",S021,high,2026-09-18
F024,Fishing Brazil Adventures,"Компания специализируется на спортивной рыбалке в Бразилии и Южной Америке",S022,high,2026-09-18
F025,Fishing Brazil Adventures,"Публичный каталог содержит несколько рыболовных пакетов по Амазонии, Пантаналу и Аргентине",S023,high,2026-09-18
F026,Fishing Brazil Adventures,"Для Amazon Xplor на сезон 2026 опубликованы цена, чартер и состав пакета",S024,high,2026-09-18
F027,Fiji Voyage,"Есть русскоязычная специализированная программа рыбалки в Аргентине",S025,medium,2026-09-18
F028,Pantanal Tur,"Компания является локальным бразильским оператором рыбалки и экотуризма",S026,high,2026-09-18
F029,Pantanal Tur,"Публично доступен каталог рыболовных пакетов с ценами и длительностью",S027,high,2026-09-18
F030,Nomadic Waters,"Nomadic Waters специализируется на Amazon fishing в Бразилии",S028,high,2026-09-18
F031,Nomadic Waters,"Публично представлены несколько fisheries и liveaboard/lodge форматы",S029,high,2026-09-18
F032,Русский Экспресс,"В русскоязычной программе по Бразилии рыбалка представлена как дополнительная активность в Амазонии",S030,high,2026-09-18
F033,Tourboss,"В найденном бразильском продукте рыбалка фигурирует как дополнительная активность; отдельный сильный fishing corpus не подтвержден",S031,medium,2026-09-18
F034,ALL,"Исходная модель из 6 критериев и итоговые баллы первой десятки были опубликованы 11 сентября 2026 года",S001,high,2026-09-18
