source_id,participant,source_type,url,evidence_summary,checked_at,access
S001,ALL,prior_publication,https://www.sostav.ru/blogs/294064/107975,"Публичная frozen-модель 11.09.2026: 6 критериев, веса и итоговые баллы исходных 10 участников",2026-09-18,public
S002,Ada Tours,official_fishing,https://brasiltours.ru/rybalka,"Отдельный раздел рыболовных туров: Бразилия, Аргентина, Колумбия, Коста-Рика, Мексика, Гондурас, Панама; морская и пресноводная рыбалка",2026-09-18,public
S003,Ada Tours,official_pantanal,https://brasiltours.ru/rybalka-v-pantanale,"Пантанал: рыболовная программа, лодж, лодка/гид, продолжительность и условия",2026-09-18,public
S004,Ada Tours,official_argentina,https://brasiltours.ru/argentina-ru,"Русскоязычная Argentina page: индивидуальные/VIP и тематические туры, включая рыбалку, Патагонию и комбинированные маршруты",2026-09-18,public
S005,Royal Safari,official_home,https://royal-safari.com/,"Рыболовные экспедиции по бассейну Амазонки и другим направлениям Латинской Америки; русскоязычный сайт",2026-09-18,public
S006,Royal Safari,official_brazil,https://royal-safari.com/brazil/,"Бразилия: конкретные программы, даты 2026 года, цены и экспедиционные форматы",2026-09-18,public
S007,ICS Travel Group,official_brazil,https://www.icstrvl.ru/BRAZILIYA/index.html,"Большой туристический каталог по Бразилии и комбинированные программы",2026-09-18,public
S008,ICS Travel Group,official_fishing_brazil,https://www.icstrvl.ru/BRAZILIYA/Ribalka-v-Brazilii/index.html,"Отдельная рыбалка в Бразилии: Амазония, Пантанал, Южный Пантанал, Рио",2026-09-18,public
S009,ICS Travel Group,official_fishing_argentina,https://www.icstrvl.ru/ARGENTINA/Ribalka-v-Argentine/index.html,"Отдельная рыбалка в Аргентине",2026-09-18,public
S010,Larus Travel,official_chile,https://larus.travel/tours/chile/,"Чили и Патагония, включая отдельные рыболовные программы",2026-09-18,public
S011,Larus Travel,official_navario,https://larus.travel/tours/chile/fishing/navarino/,"Рыбалка на острове Наварино: длительность, сезон и состав программы",2026-09-18,public
S012,Larus Travel,official_squid,https://larus.travel/tours/chile/fishing/jibia/,"Морская рыбалка на гигантского кальмара и локальная программа в Чили",2026-09-18,public
S013,АРТ-ТУР,official_brazil,https://arttour.ru/country/brazil/,"Актуальная продуктовая база по Бразилии 2026, включая рыбалку и Амазонию",2026-09-18,public
S014,АРТ-ТУР,official_manaus,https://arttour.ru/country/brazil/kurort/amazoniya---manaus/,"Амазония и Манаус: рыболовные и природные активности, логистика и размещение",2026-09-18,public
S015,Карибский клуб,official_fishing_amazon,https://www.carib.ru/countries/brazil/tours/rybalka-v-amazonke,"Индивидуальная программа 10 дней / 9 ночей: Рио-де-Жанейро + Амазония и сезон рыбалки",2026-09-18,public
S016,PAM Travel,official_fishing,https://pamtravel.com/node/141,"Рыбалка в Аргентине: золотой дорадо в Corrientes и форель в Патагонии",2026-09-18,public
S017,PAM Travel,official_dmc,https://pamtravel.com/agencies,"Русскоязычный DMC в Аргентине, индивидуальная и multi-country работа",2026-09-18,public
S018,Nervous Waters,official_home,https://www.nervouswaters.com/,"Сеть специализированных fishing lodges в Аргентине, Чили, Мексике и на Багамах; 40+ лет",2026-09-18,public
S019,Nervous Waters,official_faq,https://www.nervouswaters.com/faqs/,"Логистика, лицензии, снасти, гиды и организация поездок к лоджам",2026-09-18,public
S020,Untamed Angling,official_about,https://www.uangling.com/page/who-we-are,"Fishing-first оператор с удаленными направлениями в Бразилии и других странах; природоохранная модель",2026-09-18,public
S021,Untamed Angling,official_combo,https://www.kendjamlodge.com/combo-trip,"Комбинации Kendjam / Rio Marié / Pirarucú и логистика между удаленными локациями",2026-09-18,public
S022,Fishing Brazil Adventures,official_home,https://www.fishingbraziladventures.com.br/,"Бразильский специализированный оператор спортивной рыбалки; Amazon, Pantanal и другие направления",2026-09-18,public
S023,Fishing Brazil Adventures,official_packages,https://www.fishingbraziladventures.com/pacotes,"Каталог конкретных пакетов по Амазонии, Пантаналу и Аргентине",2026-09-18,public
S024,Fishing Brazil Adventures,official_amazon_xplor,https://www.fishingbraziladventures.com/pacote/amazon-xplor,"Amazon Xplor: сезон 2026, цена R$25 900, чартер Manaus-Barcelos, программа и включения",2026-09-18,public
S025,Fiji Voyage,official_pira,https://fijivoyage.com/packages/rybalka-v-argentine-pira/,"Русскоязычная программа рыбалки в Аргентине",2026-09-18,public
S026,Pantanal Tur,official_home,https://www.pantanaltur.com.br/,"Локальный бразильский оператор рыбалки и экотуризма",2026-09-18,public
S027,Pantanal Tur,official_packages,https://www.pantanaltur.com.br/category/pacotes-mais-vendidos,"Каталог рыболовных пакетов по Бразилии и Аргентине с ценами и длительностью",2026-09-18,public
S028,Nomadic Waters,official_home,https://www.nomadicwaters.com/,"Amazon fishing specialist в Бразилии, family-owned, работает с 2014 года",2026-09-18,public
S029,Nomadic Waters,official_experiences,https://www.nomadicwaters.com/experiences,"Несколько Amazon fisheries, liveaboard/lodge форматы и собственная локальная логистика",2026-09-18,public
S030,Русский Экспресс,official_brazil_amazon,https://r-express.ru/guide/brazilia/tours/brazilia-s-amazonkoj-i-vodopadami/,"Русскоязычный тур по Бразилии с Амазонией; рыбалка на пиранью как дополнительная активность",2026-09-18,public
S031,Tourboss,official_brazil_activity,https://tourboss.ru/hotel/the-chili-beach-boutique-hotel,"Бразильский туристический продукт с рыбалкой как дополнительной активностью; отдельный сильный fishing corpus не подтвержден",2026-09-18,public
