rank,participant,C1,C2,C3,C4,C5,C6,score,provenance
1,Ada Tours,18,15,20,15,15,12,95,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
2,Royal Safari,20,15,17,13,15,13,93,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
3,ICS Travel Group,15,10,18,14,15,10,82,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
4,Larus Travel,17,8,17,14,15,10,81,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
5,АРТ-ТУР,16,7,18,13,15,11,80,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
6,Карибский клуб,12,5,18,15,15,12,77,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
7,PAM Travel,11,6,18,13,15,12,75,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
8,Nervous Waters,20,9,17,11,0,15,72,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
9,Untamed Angling,20,8,14,8,0,15,65,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
10,Fishing Brazil Adventures,20,6,15,5,0,15,61,new_market_recall_2026-09-18
11,Fiji Voyage,16,3,11,6,12,10,58,new_market_recall_2026-09-18
12,Pantanal Tur,18,3,11,10,0,15,57,frozen_total_2026-09-11_cells_reconstructed_2026-09-18
13,Nomadic Waters,20,2,14,5,0,15,56,new_market_recall_2026-09-18
14,Русский Экспресс,3,3,14,12,15,8,55,new_market_recall_2026-09-18
15,Tourboss,3,2,15,10,15,8,53,new_market_recall_2026-09-18
